Date,Open,High,Low,Close,Adj Close,Volume
2018-03-08,10730,10898,9330.5,9913.5,9913.5,4822972246
2018-03-09,9913.5,10121.5,9030,9304.5,9304.5,4815317589
2018-03-10,9304.5,9423.5,8340,9224,9224,5723376753
2018-03-11,9224,9500,8706,8789.5,8789.5,3158061690
2018-03-12,8789.5,9789,8400,9543,9543,3947429500
2018-03-13,9543,9900,8711,9093,9093,3856719896
2018-03-14,9093,9519,8805.5,9133.5,9133.5,3565624937
2018-03-15,9133.5,9400,7933.5,8190.5,8190.5,3603357324
2018-03-16,8190.5,8475,7652.5,8250.5,8250.5,3815408242
2018-03-17,8250.5,8643,7873,8250.5,8250.5,2725855502
2018-03-18,8250.5,8389,7730.5,7849,7849,2600358139
2018-03-19,7849,8370,7300,8189,8189,3812114001
2018-03-20,8189,8780,8126,8590,8590,3174134064
2018-03-21,8590,9064,8323.5,8897,8897,3098742538
2018-03-22,8897,9217.5,8750,8893.5,8893.5,3037673596
2018-03-23,8893.5,9095,8505,8700,8700,3088085258
2018-03-24,8700,8948,8255,8921,8921,3053687082
2018-03-25,8921,9032.5,8460.5,8512,8512,2776441965
2018-03-26,8512,8683,8360,8444.5,8444.5,2698674833
2018-03-27,8444.5,8493.5,7820,8150,8150,3200837738
2018-03-28,8150,8199,7716,7791,7791,3196058935
2018-03-29,7791,8097,7727.5,7935,7935,2432935533
2018-03-30,7935,7963.5,6850,7082,7082,4153824059
2018-03-31,7082,7227,6543,6820,6820,4484265672
2018-04-01,6820,7222,6788,6920.5,6920.5,3064915621
2018-04-02,6920.5,7053,6404.5,6817,6817,3120463644
2018-04-03,6817,7123,6766,7046.5,7046.5,2396422744
2018-04-04,7046.5,7518,7006.5,7408.5,7408.5,2730070459
2018-04-05,7408.5,7420,6686.5,6779,6779,3371330612
2018-04-06,6779,6935,6555,6769.5,6769.5,3283289247
2018-04-07,6769.5,6875,6479.5,6612,6612,2256699483
2018-04-08,6612,7058.5,6608,6900.5,6900.5,1935569407
2018-04-09,6900.5,7137,6885,7014,7014,1602230571
2018-04-10,7014,7177.5,6600,6763,6763,2772773920
2018-04-11,6763,6888,6620,6824,6824,1765375582
2018-04-12,6824,6959,6802,6933.5,6933.5,1428141027
2018-04-13,6933.5,8149,6688,7904.5,7904.5,3364142710
2018-04-14,7904.5,8227,7754,7887.5,7887.5,3478152695
2018-04-15,7887.5,8195,7835,8000,8000,2357357570
2018-04-16,8000,8428.5,8000,8346.5,8346.5,2043519004
2018-04-17,8346.5,8420,7910,8047,8047,2834140820
2018-04-18,8047,8179,7800.5,7889.5,7889.5,2154592030
2018-04-19,7889.5,8262,7857,8177,8177,1900890471
2018-04-20,8177,8300,8068.5,8266,8266,1911752679
2018-04-21,8266,8974,8215,8847,8847,3018131037
2018-04-22,8847,9050.5,8651,8923.5,8923.5,3074828221
2018-04-23,8923.5,9020,8739,8800,8800,2644757064
2018-04-24,8800,9005,8780,8943,8943,2135080245
2018-04-25,8943,9780,8939.5,9675,9675,4135964861
2018-04-26,9675,9765.5,8711,8846.5,8846.5,5812260809
2018-04-27,8846.5,9327,8611,9288,9288,3628323166
2018-04-28,9288,9384.5,8910,8928,8928,2858560602
2018-04-29,8928,9450,8852,9343.5,9343.5,2857265463
2018-04-30,9343.5,9540,9192,9400.5,9400.5,2283372166
2018-05-01,9400.5,9457,9123,9250,9250,2370798272
2018-05-02,9250,9253.5,8800.5,9066,9066,2581286454
2018-05-03,9066,9258,8974.5,9216,9216,1979596355
2018-05-04,9216,9852,9167.5,9741.5,9741.5,3062952316
2018-05-05,9741.5,9778,9351,9683,9683,2686795243
2018-05-06,9683,9970,9671.5,9828.5,9828.5,2448922057
2018-05-07,9828.5,9936,9416,9600.5,9600.5,2905667236
2018-05-08,9600.5,9618,9170,9359.5,9359.5,3094401138
2018-05-09,9359.5,9449,9002,9190.5,9190.5,2521604621
2018-05-10,9190.5,9345,8966,9305.5,9305.5,2209067325
2018-05-11,9305.5,9399,9001,9027.5,9027.5,2312772193
2018-05-12,9027.5,9027.5,8337,8413,8413,4076886927
2018-05-13,8413,8634.5,8225,8477,8477,3743678488
2018-05-14,8477,8758,8336,8693.5,8693.5,2489733333
2018-05-15,8693.5,8882.5,8282.5,8678,8678,3328000880
2018-05-16,8678,8849,8417.5,8476.5,8476.5,2518801102
2018-05-17,8476.5,8497,8080,8334.5,8334.5,3019083310
2018-05-18,8334.5,8481,7945,8058.5,8058.5,2062998531
2018-05-19,8058.5,8273.5,7920,8233,8233,1913268873
2018-05-20,8233,8400,8152,8230,8230,1389157000
2018-05-21,8230,8610,8174.5,8521.5,8521.5,1688325934
2018-05-22,8521.5,8594.5,8320,8397,8397,1822218966
2018-05-23,8397,8407,7950,7989,7989,2605511682
2018-05-24,7989,8028.5,7430.5,7506,7506,4239365202
2018-05-25,7506,7740,7256,7568,7568,3643462743
2018-05-26,7568,7664,7320,7464.5,7464.5,2525291252
2018-05-27,7464.5,7648,7261.5,7323,7323,1583298168
2018-05-28,7323,7400,7189,7336.5,7336.5,1587861768
2018-05-29,7336.5,7450,7080.5,7111,7111,2096061721
2018-05-30,7111,7569,7060,7469,7469,2522014329
2018-05-31,7469,7559,7272,7372,7372,2266843464
2018-06-01,7372,7625,7330,7485.5,7485.5,2095602599
2018-06-02,7485.5,7618,7333,7513,7513,2065583965
2018-06-03,7513,7727,7444,7631,7631,1629728766
2018-06-04,7631,7798,7575,7709,7709,1458487437
2018-06-05,7709,7760,7451.5,7492,7492,2107702433
2018-06-06,7492,7670,7344,7622.5,7622.5,2413959593
2018-06-07,7622.5,7700,7478,7657,7657,2123556560
2018-06-08,7657,7755,7630,7689,7689,1649493436
2018-06-09,7689,7696.5,7540,7625,7625,1535801096
2018-06-10,7625,7700,7436,7492,7492,1314148739
2018-06-11,7492,7492.5,6610,6767,6767,4350581769
2018-06-12,6767,6937.5,6620,6870.5,6870.5,2583772362
2018-06-13,6870.5,6871,6433,6553.5,6553.5,2509548091
2018-06-14,6553.5,6633,6097,6296.5,6296.5,3466847461
2018-06-15,6296.5,6718,6268,6631,6631,3294127294
2018-06-16,6631,6680,6355,6395,6395,2138404894
2018-06-17,6395,6600.5,6312,6488.5,6488.5,1623676078
2018-06-18,6488.5,6580.5,6425,6443,6443,1130284891
2018-06-19,6443,6800,6374.5,6706.5,6706.5,1824293086
2018-06-20,6706.5,6838,6651,6731.5,6731.5,1571751049
2018-06-21,6731.5,6823,6552.5,6750,6750,2096211966
2018-06-22,6750,6789,6671,6710.5,6710.5,1379875457
2018-06-23,6710.5,6728,5900.5,6048.5,6048.5,4251305189
2018-06-24,6048.5,6270.5,6033.5,6165,6165,1880458657
2018-06-25,6165,6347,5743,6150,6150,3401207273
2018-06-26,6150,6350,6061,6251.5,6251.5,2113153648
2018-06-27,6251.5,6280.5,6044,6074,6074,1816573704
2018-06-28,6074,6178,5980,6129,6129,1725329775
2018-06-29,6129,6154.5,5820,5844.5,5844.5,1878641954
