date,county,sum_sale_dollars,sum_sale_liters
2016-05-17T00:00:00.000,Hamilton,18436.24,1403.17
2018-01-10T00:00:00.000,LINN,67080.66,4348.37
2019-01-30T00:00:00.000,MARION,30927.33,2020.40
2019-01-17T00:00:00.000,JASPER,16886.67,1268.89
2015-10-12T00:00:00.000,Fayette,1279.38,107.12
2018-03-06T00:00:00.000,PLYMOUTH,13638.91,950.27
2014-10-28T00:00:00.000,Howard,29026.77,2694.15
2017-03-01T00:00:00.000,POLK,84181.68,5218.07
2018-04-23T00:00:00.000,CASS,14014.39,1132.15
2018-02-28T00:00:00.000,RINGGOLD,591.84,55.50
2014-03-04T00:00:00.000,Tama,9476.74,794.37
2013-10-08T00:00:00.000,Pocahontas,6736.73,749.25
2015-12-09T00:00:00.000,Winnebago,12012.58,1054.46
2013-03-27T00:00:00.000,Van Buren,4697.26,373.98
2014-02-04T00:00:00.000,Clay,18887.51,1723.97
2015-08-24T00:00:00.000,Jefferson,14231.17,1050.64
2012-09-12T00:00:00.000,Buena Vista,19504.76,1483.29
2018-08-14T00:00:00.000,BLACK HAWK,114142.86,6855.45
2018-06-29T00:00:00.000,MILLS,11979.19,912.45
2019-12-31T00:00:00.000,JOHNSON,64644.98,3523.87
2018-01-02T00:00:00.000,JOHNSON,76929.85,5595.01
2018-04-06T00:00:00.000,POLK,97508.36,6002.28
2012-05-30T00:00:00.000,Cerro Gordo,1957.84,148.75
2012-07-11T00:00:00.000,Muscatine,860.58,65.70
2014-12-26T00:00:00.000,Van Buren,3912.75,267.32
2019-04-19T00:00:00.000,ALLAMAKEE,13825.49,1093.53
2018-01-03T00:00:00.000,BENTON,9428.55,683.40
2012-03-26T00:00:00.000,Hamilton,5033.46,397.88
2018-10-10T00:00:00.000,Wapello,26567.35,1580.55
2017-10-30T00:00:00.000,DUBUQUE,9644.02,713.31
2019-04-29T00:00:00.000,CALHOUN,3540.57,316.25
2015-09-15T00:00:00.000,Wright,9211.14,762.25
2014-01-13T00:00:00.000,Jones,2627.28,261.00
2012-12-11T00:00:00.000,Hardin,7377.38,647.50
2014-11-19T00:00:00.000,Iowa,20029.38,1321.12
2014-07-14T00:00:00.000,Grundy,3290.13,252.00
2016-06-15T00:00:00.000,Appanoose,19283.09,1325.15
2015-07-01T00:00:00.000,Dubuque,3442.55,282.10
2013-12-16T00:00:00.000,Keokuk,5951.32,493.85
2018-10-08T00:00:00.000,JEFFERSON,20035.79,1255.47
2012-05-03T00:00:00.000,Black Hawk,43383.39,2752.90
2012-11-16T00:00:00.000,Boone,27927.28,2179.05
2015-09-28T00:00:00.000,Jones,11108.25,944.53
2019-08-16T00:00:00.000,Iowa,10776.96,719.35
2015-01-08T00:00:00.000,Johnson,15728.85,1125.50
2017-02-09T00:00:00.000,Cerro Gord,26799.66,1806.56
2019-02-11T00:00:00.000,Henry,9100.20,574.50
2019-12-06T00:00:00.000,POWESHIEK,4482.13,282.85
2019-08-30T00:00:00.000,WARREN,50812.72,3615.60
2017-07-10T00:00:00.000,Pottawatta,3202.92,232.80
2017-05-26T00:00:00.000,LYON,6661.53,482.82
2015-09-21T00:00:00.000,Muscatine,41333.43,2951.97
2014-12-23T00:00:00.000,Worth,4950.46,432.78
2012-07-10T00:00:00.000,Jasper,2082.89,161.50
2018-03-19T00:00:00.000,CLAYTON,20786.21,1529.55
2016-07-25T00:00:00.000,Harrison,2608.38,219.64
2017-11-16T00:00:00.000,Dallas,7122.96,535.50
2018-05-17T00:00:00.000,DALLAS,16707.14,1016.63
2014-06-25T00:00:00.000,Buchanan,5131.94,435.28
2015-02-23T00:00:00.000,Franklin,12354.42,1150.65
2018-11-19T00:00:00.000,CEDAR,1930.46,162.27
2013-04-15T00:00:00.000,Union,16433.64,1399.50
2013-12-20T00:00:00.000,Van Buren,3846.56,275.37
2014-10-01T00:00:00.000,Greene,953.56,84.47
2013-11-04T00:00:00.000,,1773.61,160.00
2019-03-11T00:00:00.000,DES MOINES,70489.55,4269.86
2017-03-22T00:00:00.000,JASPER,851.10,71.84
2012-07-05T00:00:00.000,Polk,349014.79,24225.01
2014-01-06T00:00:00.000,Black Hawk,134311.60,9967.21
2016-03-07T00:00:00.000,Franklin,2611.22,253.55
2013-07-09T00:00:00.000,Story,15574.80,1303.87
2012-05-25T00:00:00.000,Mitchell,6536.21,600.71
2013-09-04T00:00:00.000,Floyd,18854.09,1549.75
2018-05-30T00:00:00.000,LUCAS,8985.06,599.09
2012-10-16T00:00:00.000,Clayton,3534.41,345.88
2019-02-01T00:00:00.000,HAMILTON,11032.93,684.16
2013-10-21T00:00:00.000,Jones,711.60,100.50
2017-05-18T00:00:00.000,HAMILTON,3020.46,141.95
2017-11-20T00:00:00.000,LOUISA,5514.06,388.59
2017-11-07T00:00:00.000,CALHOUN,7534.74,647.25
2019-07-31T00:00:00.000,POTTAWATTA,352586.14,21860.45
2015-10-20T00:00:00.000,Clay,27297.03,2211.53
2017-11-13T00:00:00.000,BUTLER,6085.92,521.25
2016-05-02T00:00:00.000,Franklin,1293.12,98.85
2018-05-25T00:00:00.000,WINNESHIEK,26425.17,1776.87
2014-07-09T00:00:00.000,Monroe,6410.41,498.87
2019-03-01T00:00:00.000,WINNESHIEK,23528.43,1583.75
2019-11-18T00:00:00.000,IOWA,10799.21,741.75
2018-06-29T00:00:00.000,WASHINGTON,24084.56,1627.23
2017-07-12T00:00:00.000,POLK,94638.68,5694.81
2016-06-09T00:00:00.000,Madison,1816.20,115.50
2018-12-04T00:00:00.000,DUBUQUE,261522.24,15670.87
2013-01-22T00:00:00.000,Polk,77345.21,5284.36
2013-10-15T00:00:00.000,Benton,3525.03,260.26
2020-02-04T00:00:00.000,POWESHIEK,29007.83,2395.98
2012-12-10T00:00:00.000,Worth,3446.51,289.37
2015-04-09T00:00:00.000,Carroll,44883.57,3569.39
2018-06-18T00:00:00.000,BREMER,19541.64,1704.51
2016-02-15T00:00:00.000,Cass,25482.92,1879.05
2018-07-18T00:00:00.000,POLK,68595.89,4249.73
2012-02-27T00:00:00.000,Webster,3456.68,277.50
2019-04-23T00:00:00.000,POWESHIEK,23998.27,1557.44
2019-12-10T00:00:00.000,POLK,90289.83,4858.09
2019-05-31T00:00:00.000,BOONE,30070.15,1967.60
2015-06-26T00:00:00.000,Warren,30958.03,2261.52
2016-09-09T00:00:00.000,FREMONT,2016.62,128.55
2016-08-08T00:00:00.000,Jones,9384.90,721.50
2013-05-07T00:00:00.000,Benton,699.66,71.40
2019-12-19T00:00:00.000,LINN,178668.08,11484.47
2019-03-20T00:00:00.000,MONROE,6258.15,452.85
2012-06-18T00:00:00.000,Delaware,12093.55,984.37
2018-05-14T00:00:00.000,LOUISA,4287.19,299.63
2019-04-02T00:00:00.000,Plymouth,15383.94,1119.25
2017-12-06T00:00:00.000,Hardin,12893.64,996.00
2017-11-06T00:00:00.000,CHICKASAW,5080.72,406.49
2012-04-12T00:00:00.000,Wapello,835.56,30.00
2012-01-30T00:00:00.000,Linn,53573.32,3818.24
2018-07-23T00:00:00.000,SHELBY,3469.64,278.50
2012-06-27T00:00:00.000,Iowa,31051.77,2651.17
2012-02-13T00:00:00.000,Cherokee,10090.43,821.45
2016-12-07T00:00:00.000,MONONA,8801.67,599.58
2013-05-30T00:00:00.000,Harrison,9766.35,810.77
2017-11-21T00:00:00.000,BLACK HAWK,128105.67,7233.70
2015-09-14T00:00:00.000,Delaware,21712.19,1580.90
2016-06-13T00:00:00.000,Wapello,3173.58,240.23
2017-07-03T00:00:00.000,BUENA VIST,1842.04,160.25
2015-12-01T00:00:00.000,Floyd,39281.95,3266.15
2016-07-25T00:00:00.000,Floyd,29526.39,2383.70
2019-09-09T00:00:00.000,CARROLL,73201.71,5912.23
2015-06-09T00:00:00.000,Hardin,10074.51,751.25
2016-11-07T00:00:00.000,CLAYTON,14699.77,1033.98
2019-09-04T00:00:00.000,DELAWARE,20460.37,1612.17
2018-08-24T00:00:00.000,BLACK HAWK,14376.73,1051.60
2017-10-06T00:00:00.000,GRUNDY,6375.59,527.27
2015-09-15T00:00:00.000,Ringgold,2118.84,187.50
2020-01-21T00:00:00.000,POLK,119552.20,6489.19
2015-02-25T00:00:00.000,Plymouth,1846.44,171.75
2015-12-24T00:00:00.000,Story,2277.88,166.33
2018-11-15T00:00:00.000,IOWA,4243.32,358.50
2014-11-17T00:00:00.000,Polk,349381.35,22355.68
2015-02-11T00:00:00.000,Wapello,65534.26,4325.51
2019-12-31T00:00:00.000,FAYETTE,15599.20,1050.35
2017-12-07T00:00:00.000,WINNEBAGO,6403.88,517.10
2019-04-26T00:00:00.000,Scott,11732.64,405.00
2019-07-26T00:00:00.000,MARION,56904.05,3667.43
2012-02-22T00:00:00.000,Hancock,619.18,84.00
2013-02-26T00:00:00.000,Adams,1756.07,123.34
2015-07-07T00:00:00.000,Madison,14819.85,1109.94
2014-08-27T00:00:00.000,Lucas,6722.65,539.42
2020-02-20T00:00:00.000,Linn,2627.09,181.63
2014-03-03T00:00:00.000,Keokuk,2963.06,257.46
2013-09-23T00:00:00.000,Jefferson,11568.31,838.35
2018-03-21T00:00:00.000,CLINTON,58867.80,4268.18
2015-09-16T00:00:00.000,Calhoun,6188.12,554.49
2013-08-29T00:00:00.000,Madison,119.28,12.00
2014-08-05T00:00:00.000,Hamilton,10158.89,766.69
2019-06-05T00:00:00.000,DAVIS,2113.04,186.25
2018-09-10T00:00:00.000,Delaware,11600.51,808.72
2017-11-22T00:00:00.000,Hardin,13863.72,1045.50
2014-05-21T00:00:00.000,Hancock,4826.59,540.00
2019-03-25T00:00:00.000,IOWA,11550.13,797.75
2014-11-10T00:00:00.000,Cherokee,9135.99,670.50
2019-07-01T00:00:00.000,IOWA,8878.21,754.75
2016-12-08T00:00:00.000,JASPER,31550.75,2378.53
2014-06-09T00:00:00.000,Cass,15952.83,1352.52
2014-06-27T00:00:00.000,Van Buren,1997.84,161.44
2016-03-08T00:00:00.000,Polk,185782.86,11736.92
2018-07-17T00:00:00.000,SAC,16534.16,1307.97
2012-04-18T00:00:00.000,Mills,6690.76,585.35
2016-02-08T00:00:00.000,Dubuque,4057.38,262.87
2015-07-21T00:00:00.000,Humboldt,9392.36,797.77
2018-06-01T00:00:00.000,KOSSUTH,23334.35,1823.72
2012-03-05T00:00:00.000,Butler,2133.10,203.62
2015-05-27T00:00:00.000,Monroe,13887.14,1391.61
2016-01-26T00:00:00.000,Mills,8836.51,698.53
2017-01-13T00:00:00.000,Polk,28149.03,1609.93
2018-12-31T00:00:00.000,AUDUBON,4375.26,305.77
2017-05-24T00:00:00.000,WOODBURY,240134.40,15505.98
2017-05-24T00:00:00.000,Marion,1629.19,111.50
